clean_text,category,location,status,date,name,contact
black reading glasses,glasses,ab5,lost,14/04/2026 23:02,Zain Khan,3991727850
brown noise-cancelling earbuds,earbuds,ab5,lost,20/04/2026 14:50,Rabia Ahmed,3745654827
black leather wallet,wallet,cc,lost,16/02/2026 18:06,Sara Ahmed,3680302142
black sport earbuds,earbuds,ab4,found,13/04/2026 11:38,Sobia Khan,3244017314
black flat keys,keys,mosque,lost,08/04/2026 10:02,Adnan Khan,3256483574
brown android OPPO phone,phone,mosque,lost,16/02/2026 13:36,Sidra Khan,3569092906
black flash usb drive,usb,hostel,lost,21/11/2025 18:24,Omar Farooq,3162238081
black zipper bag,bag,mosque,lost,14/03/2026 20:18,Eman Ali,3109988851
black drawstring bag,bag,ab1,lost,13/10/2025 12:42,Areeba Ahmed,3852896496
black sport watch,watch,ab5,lost,13/05/2025 11:57,Alina Khan,3723797987
brown noise-cancelling earbuds,earbuds,love garden,lost,13/02/2026 1:08,Amna Ali,3327879638
brown portable umbrella,umbrella,garden,lost,14/02/2026 1:08,Uzma Ahmed,3237340644
brown student id card,id_card,library,lost,26/02/2025 12:33,Hira Shah,3646376431
black zipped wallet,wallet,ab3,lost,28/10/2025 10:05,Kashif Ali,3231986215
brown travel umbrella,umbrella,ab2,found,08/05/2025 15:23,Mehwish Khan,3308483298
black plastic bottle,bottle,ab5,lost,27/04/2026 18:45,Fahad Khan,3817488272
brown reading glasses,glasses,ab4,lost,29/04/2025 10:17,Areeba Ahmed,3734360282
black used laptop,laptop,hostel,lost,09/04/2026 9:07,Hania Khan,3577626474
black bifold wallet,wallet,cc,lost,19/11/2025 21:33,Aleena Khan,3309910902
brown portable umbrella,umbrella,ab3,lost,17/11/2025 20:29,Kinza Ahmed,3944410861
brown analog watch,watch,ab1,found,04/03/2026 11:39,Daniyal Khan,3235627854
brown access id card,id_card,hostel,lost,23/10/2025 16:27,Mudassir Ali,3398993606
black zipped wallet,wallet,garden,lost,19/05/2025 13:17,Tanveer Khan,3558251467
black card wallet,wallet,ab5,lost,06/12/2025 21:43,Kinza Ahmed,3557528456
brown access id card,id_card,ab4,lost,19/01/2026 16:20,Huzaifa Ahmed,3544586626
brown sport watch,watch,mosque,lost,31/01/2026 17:18,Huzaifa Ahmed,3995447402
black slim wallet,wallet,love garden,lost,08/05/2025 12:10,Lubna Khan,3268262985
black noise-cancelling earbuds,earbuds,cc,lost,29/09/2025 19:35,Bilawal Ali,3588867280
brown slim laptop,laptop,ab1,lost,05/12/2025 12:39,Hamza Ali,3403489053
black reading glasses,glasses,ab5,found,27/04/2026 18:27,Tahira Ahmed,3734946805
brown compact earbuds,earbuds,ab1,found,19/09/2025 12:58,Tehmina Ali,3527572626
brown compact earbuds,earbuds,ab2,lost,19/03/2025 23:47,Zainab Malik,3559073995
black university id card,id_card,ab2,lost,07/10/2025 12:36,Shahzaib Ali,3217006355
calculus note book,notebook,hostel,lost,10/12/2025 16:59,Aleena Khan,3677720760
brown slim wallet,wallet,library,lost,27/11/2025 12:51,Akram Ahmed,3980570635
black small notebook,notebook,garden,lost,05/08/2025 12:36,Tahira Ahmed,3126883776
black laminated id card,id_card,parking,lost,26/02/2026 20:51,Nadia Ali,3981230272
brown slim Samsumg phone,phone,canteen,found,02/05/2025 11:51,Tehmina Ali,3318204630
brown sport earbuds,earbuds,ab5,lost,30/10/2025 13:21,Hira Shah,3155630903
black pocket notebook,notebook,ab3,lost,01/11/2025 12:56,Alina Khan,3217722375
black digital watch,watch,ab5,lost,21/01/2026 13:20,Asad Ahmed,3649269817
black compact earbuds,earbuds,hostel,lost,29/10/2025 19:21,Rabia Ahmed,3804261635
brown framed glasses,glasses,ab4,found,19/08/2025 10:32,Ali Khan,3938086799
usb 64gb,usb,garden,lost,17/04/2025 13:40,Bushra Ahmed,3424993387
black noise-cancelling earbuds,earbuds,mosque,lost,30/01/2026 11:58,Ahmed Raza,3735104400
brown tagged keys,keys,mosque,found,10/02/2026 9:31,Fiza Ahmed,3842105455
brown leather-strap watch,watch,ab1,found,24/04/2025 17:45,Hassan Ahmed,3688718523
brown leather wallet,wallet,love garden,lost,11/07/2025 3:01,Fahad Khan,3777185138
brown pocket calculator,calculator,ab4,lost,27/11/2025 10:25,Farah Khan,3245543710
black dual-sim Vivo phone,phone,ab4,lost,22/05/2025 14:42,Asad Ahmed,3339774783
brown tinted glasses,glasses,ab2,lost,10/03/2026 10:24,Sumbul Ahmed,3973014853
brown sport earbuds,earbuds,mosque,lost,20/05/2025 10:27,Aleena Khan,3821937668
brown university id card,id_card,love garden,lost,30/09/2025 20:05,Rukhsar Khan,3787877277
black digital watch,watch,hostel,found,03/02/2026 13:58,Rabia Ahmed,3127989665
brown spiral notebook,notebook,ab2,lost,20/03/2025 21:10,Zainab Malik,3277725419
black flash usb drive,usb,mosque,lost,26/05/2025 19:12,Kinza Ahmed,3775001243
black compact umbrella,umbrella,ab3,lost,03/02/2026 18:37,Yasir Khan,3490011677
brown dual-sim Vivo phone,phone,ab4,lost,12/03/2025 15:53,Irfan Ali,3780350540
black photo id card,id_card,garden,found,,Haroon Ahmed,3137153542
brown tinted glasses,glasses,ab2,lost,19/05/2025 16:02,Komal Khan,3388038635
brown sport watch,watch,garden,lost,28/04/2025 23:24,Rehan Khan,3973963515
brown card wallet,wallet,canteen,lost,19/08/2025 22:11,Shayan Ali,3263435147
black android Vivo phone,phone,garden,,22/05/2025 18:49,Arslan Khan,3124915879
brown compact earbuds,earbuds,love garden,lost,10/03/2026 11:18,Sidra Khan,3186727602
black compact earbuds,earbuds,garden,lost,18/09/2025 10:20,Fatima Ali,3699370704
brown portable laptop,laptop,ab5,lost,08/03/2025 19:11,Maham Ali,3129243061
brown shoulder bag,bag,ab1,lost,07/04/2026 17:46,Waleed Ahmed,3994927220
brown sport earbuds,earbuds,canteen,found,17/04/2025 20:21,Eman Ali,3708263787
black access id card,id_card,mosque,lost,11/12/2025 14:18,Fiza Ahmed,3355747740
black framed glasses,glasses,love garden,lost,08/07/2025 15:38,Huma Ali,3542544857
black pocket calculator,calculator,parking,lost,13/08/2025 15:05,Ayesha Khan,3162982072
 brown bag,bag,cc,lost,23/04/2026 10:42,Anum Ahmed,3551587202
black compact laptop,laptop,ab5,lost,27/03/2025 8:58,Shagufta Ahmed,3139995772
black sport watch,watch,canteen,lost,05/12/2025 8:21,Rukhsar Khan,3935906854
brown sports bottle,bottle,love garden,lost,28/11/2025 20:30,Fahad Khan,3589158786
black android Vivo phone,phone,parking,lost,18/09/2025 14:36,Iqra Khan,3587602768
brown university id card,id_card,garden,lost,27/02/2025 11:44,Shayan Ali,3527942491
black slim laptop,laptop,ab3,lost,22/05/2025 10:36,Sidra Khan,3698173345
black sport earbuds,earbuds,ab1,found,23/04/2025 18:44,Waleed Ahmed,3670874846
black wireless earbuds,earbuds,parking,lost,31/10/2025 19:34,Rauf Ahmed,3319052079
brown student id card,id_card,hostel,lost,10/12/2025 13:55,Huma Ali,3573394010
black tagged keys,keys,hostel,found,17/09/2025 23:33,Junaid Ahmed,3256423550
brown drawstring bag,bag,ab2,lost,24/02/2026 19:25,Sehrish Khan,3312327526
black business laptop,laptop,ab1,lost,20/01/2026 22:11,Talha Khan,3445505994
brown noise-cancelling earbuds,earbuds,hostel,lost,21/11/2025 12:18,Hadia Khan,3452873321
black cracked Vivo phone,phone,library,lost,25/09/2025 15:46,Laiba Khan,3505078326
brown travel umbrella,umbrella,ab1,lost,24/02/2025 22:54,Hania Khan,3761240496
brown sport earbuds,earbuds,ab3,found,09/04/2025 17:55,Shayan Ali,3130180870
brown scientific calculator,calculator,mosque,lost,19/08/2025 14:01,Samina Ahmed,3851385696
black portable laptop,laptop,ab4,lost,17/11/2025 15:21,Adnan Khan,3720436260
black cracked Vivo phone,phone,parking,lost,27/02/2025 14:56,Shagufta Ahmed,3910600383
black dual-sim Vivo phone,phone,ab1,lost,19/03/2025 14:04,Amna Ali,3908749321
black dual-sim Vivo phone,phone,ab3,lost,09/05/2025 18:04,Minal Ahmed,3248231646
black slim wallet,wallet,love garden,lost,23/02/2025 20:27,Hassan Ahmed,3565778683
hp probook,laptop,ab5,lost,06/03/2025 21:15,Shagufta Ahmed,3881973401
black USB-C charger,charger,love garden,lost,20/03/2025 12:40,Nimra Khan,3894383381
black student id card,id_card,cc,lost,08/04/2025 8:52,Hania Khan,3434040166
black framed glasses,glasses,garden,lost,15/08/2025 1:10,Shazia Ali,3619395675
black card wallet,wallet,ab1,lost,10/03/2026 20:32,Javed Ali,3931109407
black steel bottle,bottle,mosque,lost,11/03/2025 11:22,Tanveer Khan,3709483071
brown touchscreen Vivo phone,phone,cc,lost,28/02/2025 10:27,Nasir Khan,3236290953
black access id card,id_card,ab2,lost,15/11/2025 13:42,Fatima Ali,3354443954
brown laminated id card,id_card,ab5,lost,17/09/2025 18:10,Aleena Khan,3283558259
brown used laptop,laptop,ab5,lost,18/04/2025 0:28,Zainab Malik,3320433428
black android Vivo phone,phone,parking,lost,20/08/2025 18:39,Farhan Ahmed,3946310105
black slim Vivo phone,phone,cc,lost,18/04/2025 19:18,Laiba Khan,3269013831
brown in-ear earbuds,earbuds,love garden,lost,18/09/2025 16:32,Zubair Ahmed,3601323924
brown small umbrella,umbrella,ab3,lost,26/05/2025 12:23,Hania Khan,3551277051
black slim laptop,laptop,ab5,lost,05/03/2025 14:53,Samina Ahmed,3191445210
black used laptop,laptop,ab3,lost,15/12/2025 20:57,Taha Ali,3609860990
brown spiral notebook,notebook,love garden,lost,04/06/2025 20:21,Asad Ahmed,3312644565
black touchscreen Vivo phone,phone,library,lost,04/02/2025 16:33,Kamran Ahmed,3881215273
black portable charger,charger,ab1,lost,09/09/2025 15:15,Eman Ali,3348106352
brown pocket calculator,calculator,ab5,lost,21/03/2025 21:50,Arslan Khan,3454762150
brown digital watch,watch,ab5,found,13/08/2025 16:11,Samina Ahmed,3103168594
brown canvas bag,bag,library,found,06/02/2026 17:54,Salman Khan,3302542563
black android Vivo phone,phone,garden,found,09/10/2025 16:19,Ali Khan,3610650641
brown drawstring bag,bag,love garden,lost,23/09/2025 6:08,Maham Ali,3184055182
black wireless earbuds,earbuds,canteen,lost,28/02/2025 22:29,Nimra Khan,3745348242
black analog watch,watch,mosque,found,02/10/2025 17:13,Ali Khan,3985340898
black tagged keys,keys,ab4,lost,21/08/2025 13:25,Kiran Malik,3461424523
brown small umbrella,umbrella,ab5,found,20/12/2024 15:48,Sobia Khan,3705800051
brown digital watch,watch,ab3,lost,18/04/2025 14:52,Ayesha Khan,3535253215
brown water bottle,bottle,parking,lost,20/04/2026 23:18,Maham Ali,3998831266
black zipped wallet,wallet,ab1,lost,26/03/2025 20:51,Kamran Ahmed,3623209695
black sports bottle,bottle,library,lost,14/10/2025 19:43,Rukhsar Khan,3810664288
brown used laptop,laptop,love garden,lost,10/04/2025 17:43,Fahad Khan,3562233621
brown compact usb drive,usb,ab1,found,,Hassan Ahmed,3766190943
brown noise-cancelling earbuds,earbuds,mosque,lost,04/10/2025 16:13,Arslan Khan,3520814210
black travel umbrella,umbrella,hostel,lost,03/03/2025 22:34,Sana Malik,3938315889
black shoulder bag,bag,canteen,lost,20/03/2025 12:39,Rabia Ahmed,3770980579
black steel bottle,bottle,ab5,lost,28/04/2026 21:50,Tahira Ahmed,3801262282
black slim wallet,wallet,parking,lost,05/11/2025 16:24,Aleena Khan,3107600571
brown dual-sim Vivo phone,phone,ab2,lost,19/08/2025 14:34,Zain Khan,3764595353
black analog watch,watch,canteen,found,30/01/2025 1:47,Nadia Ali,3970886642
black noise-cancelling earbuds,earbuds,mosque,lost,28/12/2024 17:23,Kamran Ahmed,3430953988
black card wallet,wallet,ab1,found,08/01/2025 16:24,Irfan Ali,3393043697
black portable laptop,laptop,ab2,lost,06/01/2025 20:58,Adnan Khan,3169586104
brown student id card,id_card,garden,lost,29/09/2025 1:34,Shayan Ali,3887483240
black dual-sim Vivo phone,phone,canteen,found,14/02/2025 13:00,Hamza Ali,3894115276
black reusable bottle,bottle,love garden,found,,Komal Khan,3983845528
black zipped wallet,wallet,love garden,lost,02/03/2026 14:44,Hadia Khan,3313680349
brown steel bottle,bottle,ab2,found,13/11/2025 15:16,Huma Ali,3738238786
black ringed keys,keys,library,lost,05/02/2025 17:42,Qasim Ahmed,3910803770
black bifold wallet,wallet,ab4,lost,13/02/2025 11:05,Noor Fatima,3332413021
brown touchscreen Vivo phone,phone,ab4,lost,11/10/2025 16:30,Anaya Ali,3379925867
brown zipped wallet,wallet,library,lost,,Talha Khan,3374343031
brown slim laptop,laptop,ab2,lost,24/02/2026 16:38,Kashif Ali,3953180501
black canvas bag,bag,cc,lost,30/09/2025 14:17,Kamran Ahmed,3724464096
black slim wallet,wallet,ab2,lost,31/10/2025 21:15,Bushra Ahmed,3207527741
black sport watch,watch,cc,lost,17/02/2025 15:14,Kashif Ali,3185308943
brown laminated id card,id_card,hostel,lost,30/01/2025 17:43,Shayan Ali,3328744397
brown flash usb drive,usb,library,lost,23/01/2025 11:08,Rehan Khan,3368197097
black business laptop,laptop,ab4,lost,18/04/2025 11:20,Rukhsar Khan,3358997280
brown zipper bag,bag,love garden,lost,20/04/2026 11:02,Naila Khan,3784299436
brown card wallet,wallet,ab4,lost,30/01/2025 10:14,Javed Ali,3495356155
brown sport earbuds,earbuds,ab5,found,12/01/2025 22:51,Bilawal Ali,3949668464
